relationship_type,category,definition,example,set,typical_evidence
breached-financial-agreement,Financial,"A party fails to comply with the terms of a financial instrument or agreement, causing a contractual default or termination. This includes violating grant or sponsorship terms, misusing funds, missing required repayments or deliverables, or breaching reporting, revenue‑share, or use‑of‑funds clauses.","A fiscally sponsored project diverts restricted grant funds to unapproved activities, violating the sponsorship agreement; the sponsor issues a termination notice and seeks clawback of remaining funds.",Expanded,Signed agreement or grant letter with relevant clauses; invoices and bank records; expenditure reports vs. budget; auditor findings; sponsor or funder demand/termination letters; chargeback/refund records; email correspondence; legal filings or public disclosures.
laundered-funds-for,Financial,Transfers or conceals financial assets on behalf of another actor to obscure their origin or ownership.,A network launders funds for sanctioned individuals using layered transactions.,Expanded,"Suspicious activity reports, banking records, law enforcement actions, court filings, credible investigative reporting."
paid-honoraria-to,Financial,"An honorarium is an ex gratia payment, ie, a payment made, without the giver recognizing themself as having any liability or legal obligation to the recipient.",A university pays honoraria to guest lecturers for a public symposium.,Expanded,"Event programs, conference disclosures, payment receipts, speaker agreements, IRS 1099‑MISC records where applicable."
endowed-by,Financial,Receives sustained financial support from a permanent endowment or trust.,A university institute is endowed-by a family foundation’s permanent fund.,Expanded,"Endowment agreements, audited financial statements, donor communications, foundation disclosures."
founded,Organizational,"Independently established an organization, project, or initiative.","Jack Dorsey founded Block, Inc. (formerly Square).",Basic,"Founding announcements, incorporation filings, early press, founding team bios, archived web pages."
owned,Organizational,"Holds a controlling stake or legal ownership of another organization, asset, or platform.",Alphabet Inc. owns Google LLC.,Basic,"Corporate registries, SEC filings, shareholder disclosures, annual reports."
managed,Organizational,"Oversees day-to-day operations or directs a project, department, or program.",BlackRock manages the iShares ETF product line.,Basic,"Annual reports, management agreements, organizational charts, official announcements."
controlled,Organizational,Exercises decision-making authority or substantial influence over another entity.,A party apparatus controls a state media outlet through appointment power.,Basic,"Bylaws, shareholder agreements, governance documents, official directives, credible reporting on command chains."
member-of,Organizational,"Belongs to or participates in a defined organization, committee, or association.",Poland is member-of NATO.,Basic,"Membership rosters, charters, official listings, dues records, press releases."
employed,Organizational,Organization formally employs or contracts an individual.,The World Health Organization employs epidemiologists and data scientists.,Basic,"Organization directories, official bios, employment contracts, payroll or HR disclosures, archived profiles."
board-member-of,Organizational,Individual serves on the governing board or advisory board of an organization with formal duties or fiduciary responsibilities.,"Elon Musk is a board member of Tesla, Inc. (historical).",Expanded,"Organization’s website masthead or board page, annual reports, IRS Form 990 Part VII or Schedule O, press releases, official bios, corporate filings."
listed-partner,Organizational,Unilateral partnership claim where one actor lists another as a partner but the other does not reciprocate.,"NGO A lists NGO B as a partner on its website, but NGO B does not list NGO A.",Expanded,"Screenshots or archives of partner pages, press releases, logos on event pages."
endorsed,Organizational,"Publicly expresses formal support for another actor, initiative, or policy.",The European Parliament endorses the Paris Climate Agreement.,Expanded,"Resolutions, official statements, press releases, vote records, verified social media posts."
advised,Organizational,Provides formal or strategic guidance to another individual or organization.,A consulting firm advises a ministry on procurement reform under a signed advisory engagement.,Expanded,"Engagement letters, consulting contracts, advisory board rosters, official bios, credible press or organizational disclosures."
appointed,Organizational,"Confers a title, position, or role through formal nomination or assignment.",A mayor appoints a new police chief via a public order.,Expanded,"Official appointment decrees, corporate resolutions, press releases, government gazettes, organizational minutes."
organized,Organizational,one or more individuals jointly organizing events of any kind.,Org A and Org B co‑organized the 2024 Climate Forum series across three cities.,Expanded,"Book credits, publisher pages, catalogs."
partnered-with,Organizational,Mutual partnership relationship acknowledged by both parties.,Two nonprofits publicly state they partner with each other on a joint program.,Expanded,"Reciprocal partner listings, joint MOUs, co‑branded announcements, shared projects."
represented,Organizational,Acts officially or semi-officially on behalf of another organization or person.,Maria Zakharova represents the Russian Ministry of Foreign Affairs as its spokesperson.,Expanded,"Official titles on org pages, press briefings, spokesperson listings, government gazettes."
authored,Operational,"Collaborated in creating a shared publication, report, or dataset.",Two researchers co-authored a journal article on vaccine uptake.,Basic,"Bylines on publications, preprint records, publisher metadata, DOI entries, acknowledgments."
operated,Operational,"Runs or maintains control over infrastructure, media outlets, campaigns, or platforms.",Meta Platforms operates Facebook and Instagram.,Basic,"Corporate filings, platform ownership or operations pages, service terms naming operator, credible reporting."
investigated,Operational,"Conducted an official, regulatory, or journalistic inquiry into another entity’s activities, claims, or compliance.",The state attorney general investigated Company X for antitrust violations in 2022.,Basic,"Subpoenas, investigative reports, court dockets, official statements, credible investigative journalism."
honored-guest-at,Operational,"An individual was highlighted or billed as a featured guest at an event without necessarily delivering a formal talk (e.g., fireside chat, panel presence, interview).",John Smith was a featured guest at the Media and Movements’ event.,Basic,"Event flyers, programs, website hero sections listing “featured guests,” social posts, photos, video clips. General advertisement of celebrity attendance with limited contribution to the actual event is the deciding factor between this and presented-at is whether the guest has a formal speaking or presenting role."
trained,Operational,"Provides instruction, technical assistance, or capacity development to another entity or individual.",NATO trains a partner country’s armed forces in demining techniques.,Basic,"Training curricula, MOUs, program descriptions, official announcements, photographs or videos of training."
hosted,Operational,Organized and led an event such as a conference or exchange. The host often handles the networking. ,The People’s Forum hosted an event with ANSWER called “Peace in Ukraine.” Many other groups were in attendance or listed as speaking. ,Basic,"Event pages, programs or agendas, archived announcements, promotional materials, photographs or videos."
presented-at,Operational,An individual delivered prepared remarks or participated as a speaker at an event hosted by another entity.,Jane Doe spoke at the 2024 Security Forum organized by ACME Institute.,Basic,"Event pages or agendas listing speakers, archived promotional materials, livestream recordings, photos, press coverage."
advocated-for,Operational,"Publicly supported, promoted, or championed a cause, policy, position, or entity.",A civil rights organization advocated-for policy reforms; an activist advocated-for the release of a detained individual.,Expanded,"Public statements, press releases, testimony before legislative bodies, speeches, social media posts, op-eds, letters of support, campaign materials."
attended,Operational,"Regularly or notably appears at the same events, conferences, or gatherings",Person A Attends Events With Person B at multiple conferences,Expanded,"Event attendance records, photos, social media posts, conference registrations"
engaged-with,Operational,"A social-media specific relationship that reflects sharing, quoting, commenting, or “liking” a post. ",A foreign minister liked a post from an individual who is a member of a designated terror organization. ,Expanded,Archived social media posts or links to images of social media posts.
contracted-with,Operational,Engages another entity to perform deliverables under a legally binding agreement; payment depends on completion.,A health ministry contracts with a logistics firm to deliver vaccines.,Expanded,"Signed contracts, procurement databases, tender results, performance reports."
ordered,Operational,Directs or mandates the execution of an operation or activity by another entity.,The U.S. Department of Defense ordered operations executed by CENTCOM.,Expanded,"Official directives or orders, command memos, executive decrees, verified transcripts."
republished,Operational,Republishing is the act of publishing something with little to no change. It can happen through traditional syndication or in influence networks where this can make a movement appear larger and sometimes improves search engine performance.,"Reuters republishes content from TASS, often without additional needed context. ",Expanded,"Syndication notices, byline notes, RSS feed duplication, archive comparisons showing identical copy."
edited,Operational,"Modified, revised, or curated content originally produced by another entity or individual.",An editor edited a manuscript for a publishing house; a content manager edited articles written by contributing authors.,Expanded,"Bylines listing 'edited by', editorial credits, version history, editorial acknowledgments, published attribution, editorial correspondence."
featured,Operational,"Content in which a specific person, organization, product, or place is the primary subject and is intentionally spotlighted. The narrative, framing, and visuals focus on this subject rather than using it as background context.","- Magazine cover story profiling an executive or brand
- A podcast episode titled ""Feature: [Subject Name]""
- A TV news segment dedicating most of its runtime to one company
- A YouTube video ""Inside [Subject]"" that centers on the subject
- A blog post or case study where the headline names the subject",Expanded,"'- Headline or title names the subject (e.g., ""Profile: [Subject]"")
- Subject appears in the hero image/thumbnail or is the interview focus
- Majority of runtime or word count centers on the subject
- Labels/tags like ""Feature"", ""Profile"", ""Spotlight""
- Social copy or description explicitly frames the piece around the subject"
shared-infrastructure-with,Operational,"Uses common technical infrastructure, domains, hosting, or digital assets","Organization A Shares Infrastructure With Organization B (same hosting provider, overlapping domains)",Expanded,"WHOIS records, DNS analysis, IP address tracking, hosting provider data, analytics IDs"
published,Operational,"Publishes means to make content publicly available or accessible to others, typically through print, digital, or broadcast media.","State media outlets often publish the first instance of a claim, which is then republished dozens and sometimes hundred and even thousands of times across allied websites.",Expanded,"Publisher records, mastheads, CMS metadata, archive captures of initial publication."
held-assets-for,Operational,"Manages or conceals ownership of non-monetary assets (e.g., real estate, media outlets) for another entity.",A trust holds assets for a public figure through layered shell companies.,Expanded,"Corporate registries, land records, trust documents, leaked files, investigative reporting."
cited,Operational,Cites means that one entity has referenced another authoritatively or as evidence or an example. Citations can be formal or they can simply be hyperlinked text that never actually mentions the source being cited. All of these actions lead a reader to the cited source. ,A think tank report cites a government white paper to support a statistic.,Expanded,"Footnotes, bibliographies, hyperlink citations, DOI records, archived pages showing attribution."
procured-from,Operational,Purchases goods or services to meet operational requirements through a commercial transaction.,The U.K. Ministry of Defence procures-from BAE Systems for defense hardware.,Expanded,"Procurement databases, tender results, signed contracts, delivery or performance reports."
divorced,Personal,Legally dissolved a marriage or civil partnership with another individual.,Jeff Bezos divorced MacKenzie Scott in 2019.,Basic,"Divorce decrees or court records, credible reporting, official statements or biographies."
married,Personal,Legally or formally united with another individual in a recognized marriage.,Barack Obama married Michelle Obama.,Basic,"Marriage certificates or public records, biographical entries, credible media or official profiles."
parent-of,Personal,"Is the biological, adoptive, or legal parent of another individual.",King Charles III is parent-of Prince William.,Expanded,"Birth certificates or legal records, family registries, credible biographical sources."
relative-to,Personal,Blood relation or marriage connection between two individuals,"John Smith is a Family Member of Jane Smith (siblings, parent-child, spouses, etc.)",Expanded,"Public records, social media posts, biographical information, family trees"
